route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
74_1,FULLW,74_1_PM_4,,,,shape_2667
74_1,FULLW,74_1_PM_5,,,,shape_2668
74_1,FULLW,74_1_PM_6,,,,shape_2669
74_1,FULLW,74_1_PM_7,,,,shape_2670
74_1,FULLW,74_1_PM_8,,,,shape_2671
74_2,FULLW,74_2_PM_1,,,,shape_2672
74_2,FULLW,74_2_PM_2,,,,shape_2673
74_2,FULLW,74_2_PM_3,,,,shape_2674
74_2,FULLW,74_2_PM_4,,,,shape_2675
74_2,FULLW,74_2_PM_5,,,,shape_2676
74_2,FULLW,74_2_PM_6,,,,shape_2677
74_2,FULLW,74_2_PM_7,,,,shape_2678
74_2,FULLW,74_2_PM_8,,,,shape_2679
84_1,FULLW,84_1_PM_1,,,,shape_2680
84_1,FULLW,84_1_PM_2,,,,shape_2681
84_1,FULLW,84_1_PM_3,,,,shape_2682
84_1,FULLW,84_1_PM_4,,,,shape_2683
84_1,FULLW,84_1_PM_5,,,,shape_2684
84_1,FULLW,84_1_PM_6,,,,shape_2685
84_1,FULLW,84_1_PM_7,,,,shape_2686
84_1,FULLW,84_1_PM_8,,,,shape_2687
84_1,FULLW,84_1_PM_9,,,,shape_2688
84_1,FULLW,84_1_PM_10,,,,shape_2689
84_1,FULLW,84_1_PM_11,,,,shape_2690
84_2,FULLW,84_2_PM_1,,,,shape_2691
84_2,FULLW,84_2_PM_2,,,,shape_2692
84_2,FULLW,84_2_PM_3,,,,shape_2693
84_2,FULLW,84_2_PM_4,,,,shape_2694
84_2,FULLW,84_2_PM_5,,,,shape_2695
84_2,FULLW,84_2_PM_6,,,,shape_2696
84_2,FULLW,84_2_PM_7,,,,shape_2697
84_2,FULLW,84_2_PM_8,,,,shape_2698
84_2,FULLW,84_2_PM_9,,,,shape_2699
84_2,FULLW,84_2_PM_10,,,,shape_2700
84_2,FULLW,84_2_PM_11,,,,shape_2701
85_1,FULLW,85_1_PM_1,,,,shape_2702
85_1,FULLW,85_1_PM_2,,,,shape_2703
